,Phi/grad,$\Delta S$p1,s_$\Delta S$p1,$\Delta S$p2,s_$\Delta S$p2,$\Delta S$s1,s_$\Delta S$s1,$\Delta S$s2,s_$\Delta S$s2
1,30,170.96,2.8284271247461903,63.36000000000001,2.0615528128088303,268.96,5.024937810560445,277.49,5.024937810560445
2,35,150.67,2.8284271247461903,55.18000000000001,2.0615528128088303,260.70000000000005,5.024937810560445,258.27000000000004,5.024937810560445
3,40,129.64,2.0615528128088303,51.64999999999999,0.7071067811865476,254.35999999999999,5.024937810560445,245.9,5.024937810560445
4,45,106.25,2.0615528128088303,40.01,0.7071067811865476,248.17999999999998,5.024937810560445,218.74,5.024937810560445
5,50,88.81,2.0615528128088303,34.699999999999996,0.7071067811865476,242.77,5.024937810560445,206.87,5.024937810560445
6,55,73.15,2.0615528128088303,25.529999999999998,0.7071067811865476,242.72000000000003,5.024937810560445,198.77999999999997,5.024937810560445
7,60,53.94,2.0615528128088303,18.39,0.7071067811865476,238.81,5.024937810560445,185.0,5.024937810560445
8,65,38.699999999999996,2.0615528128088303,11.64,0.7071067811865476,232.88,5.024937810560445,207.3,5.024937810560445
9,70,27.939999999999998,0.7071067811865476,8.11,0.7071067811865476,207.53,5.024937810560445,186.2,5.024937810560445
10,75,18.689999999999998,0.7071067811865476,5.03,0.7071067811865476,200.37,5.024937810560445,183.93,5.024937810560445
11,80,11.68,0.7071067811865476,2.87,0.7071067811865476,192.56,5.024937810560445,172.14,5.024937810560445
12,85,7.0,0.7071067811865476,1.5499999999999998,0.7071067811865476,184.73000000000002,5.024937810560445,155.62,5.024937810560445
13,90,4.75,0.7071067811865476,0.8900000000000001,0.7071067811865476,181.54999999999998,5.024937810560445,157.35,5.024937810560445
14,95,4.800000000000001,0.7071067811865476,0.8799999999999999,0.7071067811865476,179.78,5.024937810560445,162.23000000000002,5.024937810560445
15,100,6.329999999999999,0.7071067811865476,1.4500000000000002,0.7071067811865476,177.28,5.024937810560445,155.5,5.024937810560445
16,105,9.4,0.7071067811865476,2.78,0.7071067811865476,173.91,5.024937810560445,142.76000000000002,5.024937810560445
17,110,15.740000000000002,0.7071067811865476,5.51,0.7071067811865476,171.66,5.024937810560445,130.69,5.024937810560445
18,115,23.26,0.7071067811865476,9.53,0.7071067811865476,175.19,5.024937810560445,135.14000000000001,5.024937810560445
19,120,28.67,0.7071067811865476,9.020000000000001,0.7071067811865476,170.17999999999998,5.024937810560445,128.37,5.024937810560445
20,125,36.980000000000004,0.7071067811865476,11.469999999999999,0.7071067811865476,161.47,5.024937810560445,123.3,5.024937810560445
21,130,47.31999999999999,2.0615528128088303,14.079999999999998,0.7071067811865476,160.6,5.024937810560445,125.74000000000001,5.024937810560445
22,135,51.42999999999999,2.0615528128088303,17.879999999999995,0.7071067811865476,139.31,5.385164807134504,117.49,5.385164807134504
23,140,63.910000000000004,2.0615528128088303,21.259999999999998,0.7071067811865476,139.15000000000003,5.385164807134504,110.99,5.385164807134504
24,145,68.89,2.8284271247461903,14.230000000000004,2.8284271247461903,136.07999999999998,5.385164807134504,134.05,5.385164807134504
25,150,80.42999999999999,2.8284271247461903,24.5,2.8284271247461903,121.50000000000003,5.385164807134504,134.82000000000002,5.385164807134504
