Rund Nr.,f3,Tp
1,16.72,57.53
2,14.61,49.58
3,12.89,43.78
4,11.52,39.62
5,10.41,36.00
6,9.50,32.98
7,8.66,30.96
8,8.09,28.12
9,7.60,25.13
10,7.02,24.48
