f/kHz,U_a/Div,U_a(ein)/(mV/Div)
0.01,4.9,2000
100,3.05,1000
200,3.1,500
300,5,200
400,3.7,200
500,5.5,100
600,4.5,100
700,3.7,100
800,3.0,100
900,5.1,50
1000,4.4,50
1100,3.8,50
1200,3.4,50
1300,3.0,50
1400,2.8,50
1500,2.4,50
1600,5.4,20
1700,5.0,20
1800,4.6,20
50,5.4,1000
25,4.0,2000
40,3.2,2000
33.3,3.5,2000

