62.83185307	0.025132741	0.007	0.00250881
6283.185307	2.513274123	0.64	0.101827746
12566.37061	5.026548246	1.25	0.25279874
25132.74123	10.05309649	2.4	0.260168241
50265.48246	20.10619298	4	0.514207896
62831.85307	25.13274123	4.5	0.517916357
75398.22369	30.15928947	4.8	0.520336482
81681.40899	32.6725636	4.8	0.520336482
87964.5943	35.18583772	4.8	0.520336482
94247.77961	37.69911184	4.9	0.521175255
100530.9649	40.21238597	4.9	0.521175255
106814.1502	42.72566009	4.9	0.521175255
113097.3355	45.23893421	4.8	0.520336482
119380.5208	47.75220833	4.8	0.520336482
125663.7061	50.26548246	4.7	0.519513691
138230.0768	55.2920307	4.6	0.518706957
150796.4474	60.31857895	4.4	0.517141963
163362.818	65.34512719	4.2	0.515642086
175929.1886	70.37167544	4	0.514207896
188495.5592	75.39822369	3.9	0.513515606
219911.4858	87.9645943	3.5	0.510913371
251327.4123	100.5309649	3.2	0.50913873
282743.3388	113.0973355	2.9	0.507517616
314159.2654	125.6637061	2.6	0.506051503
376991.1184	150.7964474	2.3	0.504741743
439822.9715	175.9291886	2	0.503589555
502654.8246	201.0619298	1.75	0.255456685
565486.6776	226.1946711	1.6	0.254569365
628318.5307	251.3274123	0.21	0.025782104
