6.283185307	0.002513274	100	25.48038461
3141.592654	1.256637061	3	1.258699726
6283.185307	2.513274123	1.6	0.506169932
9424.777961	3.769911184	1	0.502419148
12566.37061	5.026548246	0.8	0.501549599
15707.96327	6.283185307	0.6	0.500872239
18849.55592	7.539822369	0.6	0.500872239
25132.74123	10.05309649	0.4	0.50038785
31415.92654	12.56637061	0.4	0.50038785
37699.11184	15.07964474	0.3	0.500218202
43982.29715	17.59291886	0.3	0.500218202
50265.48246	20.10619298	0.2	0.500096991
56548.66776	22.61946711	0.2	0.500096991
62831.85307	25.13274123	0.2	0.500096991
628.3185307	0.251327412	16	2.621221089
4398.229715	1.759291886	2.5	1.256047869
188.4955592	0.075398224	50	12.74019231
1884.955592	0.753982237	5	2.512095739
314.1592654	0.125663706	31	5.227850897
376.9911184	0.150796447	25	5.149332481
439.8229715	0.175929189	22	5.116023847
502.6548246	0.20106193	20	5.096076922
565.4866776	0.226194671	18	5.07796219
691.1503838	0.276460154	14	5.047306212
753.9822369	0.301592895	13	5.040815906
