1	0.0004	100	25
500	0.2	3	1.25
1000	0.4	1.6	0.5
1500	0.6	1	0.5
2000	0.8	0.8	0.5
2500	1	0.6	0.5
3000	1.2	0.6	0.5
4000	1.6	0.4	0.5
5000	2	0.4	0.5
6000	2.4	0.3	0.5
7000	2.8	0.3	0.5
8000	3.2	0.2	0.5
9000	3.6	0.2	0.5
10000	4	0.2	0.5
100	0.04	16	2.5
700	0.28	2.5	1.25
30	0.012	50	12.5
300	0.12	5	2.5
50	0.02	31	5
60	0.024	25	5
70	0.028	22	5
80	0.032	20	5
90	0.036	18	5
110	0.044	14	5
120	0.048	13	5
