index,x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),yai4_max(V),lambda(nm),freq(THz)
118,117.0879,0.1133,-0.0006203344769178665,-2.0334476917870103e-05,-0.004472689916405814,,,780.2406340930233,384.23076792006395
119,117.0986,0.1138,-0.0006326536083924583,-3.265360839246195e-05,-0.004525475925525435,,,780.2406440465116,384.23076301845254
120,117.111,0.1136,-0.0006469299850546117,-4.6929985054615375e-05,-0.004786648496841517,,,780.2406555813955,384.2307573380805
121,117.1239,0.1135,-0.0006617820220660431,-6.178202206604672e-05,-0.004950287704097889,,,780.2406675813954,384.2307514286614
122,117.1344,0.1133,-0.0005738708894009042,2.612911059909212e-05,-0.004902087058841431,,,780.2406773488373,384.2307466186693
123,117.1449,0.1135,-0.000585959756735796,1.4040243264200336e-05,-0.0048538864135849735,,,780.2406871162791,384.2307418086773
124,117.1588,0.113,-0.0006019631144457555,-1.9631144457590843e-06,-0.004922458892721693,,,780.2407000465117,384.2307354411642
125,117.1681,0.1132,-0.0006126703969423636,-1.2670396942367212e-05,-0.004868338321208809,,,780.2407086976744,384.2307311808858
126,117.1809,0.113,-0.0006274073018839171,-2.7407301883920765e-05,-0.004931484201277092,,,780.2407206046512,384.230725317277
128,117.203,0.1126,-0.0006528514893221066,4.7148510677885724e-05,-0.004440509509832602,,,780.2407411627908,384.23071519339027
129,117.2155,0.113,-0.0005672429980541141,3.275700194588227e-05,-0.003902175408336761,,,780.2407527906977,384.23070946721026
130,117.2272,0.1136,-0.0005807134502272618,1.9286549772734585e-05,-0.003659894689336751,,,780.2407636744186,384.2307041075059
131,117.2391,0.1137,-0.0005944141665401095,5.585833459886835e-06,-0.0034186006247126643,,,780.2407747441861,384.2306986561828
132,117.2515,0.1131,-0.000608690543202263,-8.690543202266587e-06,-0.003279773196028901,,,780.2407862790698,384.23069297581276
133,117.2665,0.1132,-0.000625960353680656,-2.596035368065963e-05,-0.0031537722742339125,,,780.2408002325582,384.23068610439753
134,117.2754,0.1138,-0.000636207107897864,-3.620710789786763e-05,-0.003097678393968961,,-0.003097678393968961,780.240808511628,384.23068202735794
135,117.2858,0.1149,-0.0005481808431628751,-4.8180843162881626e-05,-0.0031489844215245033,,,780.2408181860466,384.230677263177
136,117.2978,0.1148,-0.0005619966915455729,-6.199669154557941e-05,-0.003308183684088528,,,780.2408293488372,384.23067176604525
137,117.3097,0.1147,-0.0005756974078584484,-7.569740785845491e-05,-0.0034668896194646193,,,780.2408404186048,384.230666314723
139,117.334,0.114,-0.0006036745008334496,-3.6745008334532203e-06,-0.004286768126156748,,,780.2408630232559,384.2306551830321
140,117.3466,0.1142,-0.0006181811416353031,-1.8181141635306708e-05,-0.004548927351848919,,,780.2408747441862,384.2306494110444
141,117.358,0.1147,-0.0005313061975989047,-3.1306197598904295e-05,-0.004605166651284798,,,780.2408853488373,384.23064418877
142,117.3718,0.1149,-0.0005471944232390141,-4.719442323901368e-05,-0.004573245803233428,,,780.2408981860466,384.2306378670696
143,117.3829,0.1146,-0.0005599740829930339,-5.997408299303342e-05,-0.00442800512110525,,,780.2409085116279,384.23063278222384
144,117.3939,0.1146,-0.0005726386106772036,-7.263861067720312e-05,-0.004182271111788927,,,780.240918744186,384.23062774318754
146,117.4179,0.114,-0.0006002703074426269,-2.703074426235741e-07,-0.003700669636917009,,,780.2409410697675,384.23061674892705
147,117.4288,0.1153,-0.0006128197030569188,-0.00011281970305691835,-0.0035544423004127412,,,780.2409512093024,384.2306117557006
148,117.4394,0.1149,-0.0005250237024616855,-2.502370246168506e-05,-0.0034067349823443394,,,780.2409610697675,384.23060689990257
149,117.4508,0.1153,-0.0005381487584252553,-3.814875842525489e-05,-0.00316297428178014,,,780.2409716744187,384.2306016776293
150,117.4615,0.1156,-0.0005504678898998472,-5.046788989984674e-05,-0.002915760290899738,,,780.240981627907,384.2305967760221
151,117.4731,0.1153,-0.0005638232100031448,-6.382321000314439e-05,-0.002772986244711617,,,780.2409924186047,384.2305914621303
152,117.4853,0.1155,-0.0005778693225255704,-7.786932252557e-05,-0.002733172161651698,,,780.241003767442,384.23058587338215
153,117.4957,0.116,-0.0005898430577905844,-8.984305779058399e-05,-0.002684478189207251,,,780.2410134418606,384.23058110920357
154,117.5086,0.1156,-0.0006046950948020158,-0.00010469509480201533,-0.002648117396463645,,-0.002648117396463645,780.2410254418605,384.23057519978994
155,117.5221,0.115,-0.0006202379242325751,-0.00012023792423257462,-0.0028147165668480634,,,780.241038,384.23056901552
157,117.5436,0.1141,-0.0006449913192516088,-4.499131925161243e-05,-0.0032207819122754278,,,780.2410580000001,384.230559166498
158,117.5551,0.1145,-0.0005582315072850327,-0.00015823150728502822,-0.0035775145388992624,,,780.2410686976745,384.23055389841664
159,117.5672,0.1151,-0.0005721624877376361,-0.00017216248773763154,-0.00393720712865131,,,780.2410799534885,384.230548355479
160,117.5789,0.1149,-0.0005856329399107837,-8.56329399107833e-05,-0.004194926409651356,,,780.2410908372094,384.23054299577916
161,117.5894,0.1147,-0.0005977218072456478,-9.772180724564733e-05,-0.004346725764394821,,,780.2411006046513,384.2305381857922
162,117.6001,0.1147,-0.0006100409387202396,-0.00011004093872023918,-0.004299511773514397,,,780.2411105581396,384.23053328418666
163,117.614,0.115,-0.0006260442964302268,-0.00012604429643022635,-0.004168084252651139,,,780.2411234883722,384.23052691668045
164,117.6244,0.1154,-0.0006380180316952408,-0.00013801803169524035,-0.003919390280206547,,,780.2411331627908,384.23052215250334
165,117.6364,0.1154,-0.0006518338800779663,-0.0001518338800779659,-0.0034785895427706937,,,780.2411443255814,384.23051665537605
166,117.6487,0.1149,-0.0006659951246702697,-0.00016599512467026928,-0.0031392687868988522,,,780.2411557674419,384.2305110208207
167,117.6591,0.1147,-0.0005779688599352809,-0.00017796885993528327,-0.002890574814454372,,,780.2411654418605,384.230506256644
169,117.6837,0.1148,-0.0006062913491198599,-0.00010629134911985944,-0.0024119333027106116,,,780.2411883255814,384.2304949875341
170,117.6939,0.115,-0.0006180348202451461,-0.00011803482024514561,-0.0023622526758900753,,-0.0023622526758900753,780.2411978139536,384.2304903149765
171,117.7065,0.1151,-0.0006325414610470273,-0.00013254146104702685,-0.0025244119015823685,,,780.2412095348838,384.2304845429939
172,117.7167,0.1153,-0.0006442849321723135,-0.00014428493217231303,-0.00267473127476181,,,780.2412190232559,384.23047987043657
173,117.7304,0.1154,-0.0006600580257426006,-0.00016005802574260014,-0.0030423170995224624,,,780.241231767442,384.2304735945509
174,117.7413,0.1151,-0.0006726074213568925,-0.00017260742135689205,-0.0033960897630180287,,,780.2412419069768,384.23046860132825
175,117.752,0.1157,-0.0005849265528314815,-0.0001849265528314839,-0.003648875772137683,,,780.2412518604651,384.23046369972445
176,117.7632,0.1151,-0.0005978213446553513,-0.00019782134465535367,-0.003804128417197461,,,780.2412622790698,384.2304585690738
177,117.7761,0.1156,-0.0006126733816667826,-0.000212673381666785,-0.003867767624453844,,,780.2412742790698,384.23045265966397
178,117.7883,0.116,-0.0006267194941892082,-0.0002267194941892106,-0.0038279535413939803,,,780.241285627907,384.23044707091987
180,117.8112,0.1155,-0.0006530847381862256,-0.00015308473818623214,-0.003540925467453604,,,780.2413069302327,384.2304365805728
181,117.8241,0.1161,-0.000667936775197657,-0.00016793677519766348,-0.0033045646747099644,,,780.2413189302326,384.23043067116356
182,117.8357,0.1164,-0.0005812920953009587,-0.00018129209530096113,-0.002861790628521932,,,780.2413297209303,384.23042535727643
183,117.8469,0.1163,-0.0005941868871248285,-0.0001941868871248309,-0.0025170432735817094,,,780.2413401395349,384.23042022662685
184,117.8589,0.1168,-0.000608002735507554,-0.00020800273550755644,-0.0021762425361457893,,,780.2413513023256,384.23041472950246
185,117.8699,0.1173,-0.000620667263191696,-0.00022066726319169838,-0.0020305085268294554,,,780.2413615348838,384.23040969047184
186,117.8818,0.1172,-0.0006343679795045437,-0.00023436797950454613,-0.001989214462205402,,-0.001989214462205402,780.2413726046512,384.23040423915717
187,117.894,0.1174,-0.0006484140920269971,-0.0002484140920269995,-0.0021494003791455163,,,780.2413839534885,384.23039865041454
188,117.9039,0.1178,-0.0006598121669427331,-0.00025981216694273557,-0.0020982397707607903,,,780.2413931627907,384.2303941152874
189,117.9156,0.1174,-0.0006732826191158808,-0.00027328261911588325,-0.0021559590517608584,,,780.2414040465117,384.2303887555919
190,117.928,0.1175,-0.0006875589957780343,-0.0002875589957780367,-0.002317131623076951,,,780.2414155813954,384.2303830752309
191,117.9391,0.1183,-0.0006003386555320234,-0.00030033865553202865,-0.002371890940948751,,,780.2414259069768,384.23037799039184
192,117.9507,0.1178,-0.000613693975635321,-0.0003136939756353263,-0.0026291168947606414,,,780.2414366976744,384.2303726765061
193,117.9634,0.1179,-0.0006283157485070245,-0.0003283157485070298,-0.002891769447640913,,,780.2414485116279,384.23036685871756
194,117.9741,0.1177,-0.0006406348799816441,-0.00034063487998164943,-0.003244555456760556,,,780.2414584651164,384.2303619571163
195,117.9864,0.1181,-0.0006547961245739198,-0.00035479612457392506,-0.0033052347008887817,,,780.2414699069768,384.23035632256557
196,117.9971,0.1186,-0.0006671152560485116,-0.0003671152560485169,-0.003158020710008258,,,780.2414798604651,384.2303514209646
197,118.0086,0.1184,-0.0006803554440819592,-0.00038035544408196453,-0.0033147533366321147,,,780.2414905581396,384.2303461528889
198,118.0201,0.1178,-0.0006935956321153791,-0.0003935956321153844,-0.0030714859632560154,,,780.241501255814,384.2303408848134
199,118.033,0.1182,-0.0007084476691268105,-0.00040844766912681574,-0.002935125170512365,,,780.241513255814,384.2303349754072
200,118.0439,0.1187,-0.0007209970647411024,-0.00042099706474110765,-0.0026888978340081082,,,780.2415233953488,384.2303299821881
201,118.0548,0.1191,-0.000733546460355422,-0.0004335464603554273,-0.002442670497503796,,,780.2415335348837,384.2303249889691
202,118.0659,0.1186,-0.0007463261201094418,-0.00044632612010944706,-0.002197429815375518,,,780.2415438604652,384.23031990413153
203,118.077,0.1191,-0.0007591057798634337,-0.00045910577986343903,-0.0019521891332471841,,,780.2415541860465,384.23031481929416
204,118.0897,0.1194,-0.0007737275527351373,-0.00047372755273514255,-0.0018148416861274996,,,780.241566,384.23030900150735
205,118.1001,0.1192,-0.000785701288000179,-0.0004857012880001843,-0.0017661477136830528,,-0.0017661477136830528,780.2415756744186,384.23030423733564
206,118.1112,0.1198,-0.0007984809477541988,-0.000498480947754204,-0.0019209070315547305,,,780.2415860000001,384.23029915249856
207,118.1223,0.1208,-0.0008112606075081907,-0.000511260607508196,-0.0017756663494264968,,,780.2415963255814,384.23029406766176
208,118.1372,0.1217,-0.0008284152859167615,-0.0006284152859167627,-0.0018491721004435524,,,780.2416101860466,384.2302872420702
209,118.1492,0.1213,-0.0008422311342994593,-0.0005422311342994646,-0.0020083713630076327,,,780.2416213488373,384.23028174494954
210,118.1581,0.1214,-0.0008524778885166673,-0.0006524778885166685,-0.0021522774827426594,,,780.2416296279071,384.23027766791853
211,118.1708,0.1209,-0.0008670996613883708,-0.0005670996613883761,-0.002314930035622831,,,780.2416414418606,384.2302718501329
212,118.1857,0.1207,-0.0008842543397968861,-0.0006842543397968873,-0.0024884357866398754,,,780.2416553023256,384.2302650245421
213,118.1966,0.1208,-0.0008968037354112057,-0.0006968037354112069,-0.0025422084501355857,,,780.2416654418605,384.2302600313248
214,118.209,0.1209,-0.0009110801120733591,-0.0007110801120733604,-0.002803381021451834,,,780.2416769767442,384.2302543509677
215,118.2203,0.1214,-0.000924090035967079,-0.0007240900359670802,-0.002959126993699601,,,780.2416874883721,384.23024917451335
216,118.2331,0.1222,-0.0009388269409086325,-0.0007388269409086337,-0.003022272873767884,,,780.2416993953489,384.2302433109192
217,118.2447,0.1224,-0.0009521822610119302,-0.0007521822610119314,-0.002979498827579752,,,780.2417101860466,384.2302379970372
218,118.2555,0.1225,-0.000964616524556372,-0.0007646165245563732,-0.0027327781638874504,,,780.2417202325582,384.23023304962993
219,118.2664,0.1219,-0.0010771659201706946,-0.0007771659201706929,-0.0028865508273831497,,,780.2417303720931,384.23022805641347
220,118.2777,0.1215,-0.0010901758440644144,-0.0007901758440644127,-0.00274229679963095,,,780.241740883721,384.23022287995985
221,118.2917,0.1211,-0.0011062943338442516,-0.0008062943338442499,-0.0029113626059556474,,,780.2417539069768,384.23021646665467
222,118.3022,0.1217,-0.0011183832011791434,-0.0009183832011791446,-0.002963161960699179,,,780.2417636744186,384.2302116566759
223,118.3143,0.122,-0.001132314181631719,-0.0009323141816317201,-0.0027228545504512924,,,780.2417749302326,384.2302061137482
224,118.3247,0.1222,-0.001144287916896733,-0.0009442879168967341,-0.002974160578006757,,,780.2417846046512,384.230201349579
225,118.3378,0.1222,-0.0011593702180478643,-0.0009593702180478655,-0.0029387864396392405,,,780.2417967906978,384.2301953485584
226,118.3492,0.1223,-0.0011724952740114342,-0.0009724952740114354,-0.0026950257390749854,,,780.2418073953489,384.23019012629635
227,118.3599,0.1228,-0.001284814405486022,-0.0009848144054860272,-0.0027478117481946063,,,780.2418173488372,384.23018522469965
228,118.3702,0.1226,-0.001296673008681186,-0.0010966730086811871,-0.002998624448562026,,,780.2418269302326,384.23018050634033
229,118.3842,0.1223,-0.0013127914984610509,-0.001112791498461052,-0.0029676902548868567,,,780.2418399534885,384.2301740930365
230,118.3949,0.1228,-0.0014251106299356456,-0.001125110629935644,-0.0028204762640064995,,,780.2418499069768,384.2301691914402
231,118.405,0.1227,-0.0014367389689910817,-0.00113673896899108,-0.0024703023099978405,,,780.2418593023257,384.2301645646999
232,118.4162,0.1234,-0.0014496337608149515,-0.0012496337608149527,-0.002025554955057629,,,780.2418697209303,384.2301594340573
233,118.4272,0.1238,-0.0014622982884991212,-0.0012622982884991224,-0.0015798209457413281,,,780.2418799534885,384.2301543950334
234,118.4397,0.1251,-0.0014766897972311246,-0.0012766897972311259,-0.0013414868442455097,,,780.2418915813954,384.23014866887013
235,118.4515,0.1243,-0.0014902753814741224,-0.0013902753814741264,-0.001399699452433456,,,780.2419025581396,384.2301432633721
236,118.4616,0.1245,-0.0016019037205295891,-0.0014019037205295903,-0.0012495254984249415,,,780.2419119534884,384.23013863663243
237,118.473,0.1242,-0.001615028776493159,-0.0014150287764931602,-0.001305764797860709,,,780.2419225581395,384.2301334143719
238,118.4867,0.1242,-0.0016308018700634183,-0.0014308018700634195,-0.0012733506226213498,,,780.2419353023256,384.2301271384976
239,118.4981,0.1242,-0.0017439269260270118,-0.0014439269260270171,-0.0012295899220572393,,,780.2419459069768,384.23012191623747
240,118.5101,0.1246,-0.0017577427744097096,-0.0015577427744097108,-0.0011887891846212306,,,780.2419570697675,384.23011641912154
241,118.5215,0.1251,-0.0017708678303733072,-0.0015708678303733084,-0.001245028484057109,,,780.2419676744187,384.2301111968616
242,118.5349,0.1253,-0.0017862955277340165,-0.0015862955277340177,-0.0012111343272535602,,,780.2419801395349,384.230105058416
243,118.5461,0.1256,-0.001899190319557889,-0.0016991903195578903,-0.0011663869723133602,,,780.2419905581396,384.2300999277749
244,118.5578,0.1261,-0.0019126607717310368,-0.001712660771731038,-0.0011241062533133284,,-0.0011241062533133284,780.2420014418606,384.23009456808757
245,118.5686,0.1262,-0.0019250950352754786,-0.0017250950352754799,-0.0011773855896210494,,,780.2420114883721,384.23008962068405
246,118.581,0.1268,-0.001939371411937632,-0.0018393714119376292,-0.0016385581609371647,,,780.2420230232559,384.23008394033195
247,118.5944,0.1271,-0.0020547991092983095,-0.0018547991092983107,-0.0021046640041336717,,,780.2420354883722,384.2300778018871
248,118.6051,0.127,-0.0020671182407729013,-0.0019671182407729054,-0.002357450013253326,,,780.2420454418606,384.23007290029324
249,118.6163,0.127,-0.002080013032596771,-0.001980013032596775,-0.002412702658313115,,,780.2420558604651,384.2300677696531
250,118.6271,0.1277,-0.0021924472961412436,-0.001992447296141245,-0.002565981994620714,,,780.2420659069768,384.2300628222502
251,118.6406,0.1288,-0.002207990125571803,-0.002107990125571807,-0.0024325811650052764,,,780.2420784651164,384.2300566379968
252,118.6516,0.1282,-0.002220654653255945,-0.002120654653255949,-0.002486847155688976,,,780.2420886976745,384.23005159897565
253,118.6656,0.1291,-0.002236773143035782,-0.002236773143035782,-0.0019559129620136395,,,780.2421017209302,384.23004518567626
254,118.6755,0.1298,-0.002348171217951514,-0.002248171217951518,-0.001304752353629035,,,780.2421109302326,384.23004065055744
255,118.6855,0.1299,-0.002359684424937128,-0.002259684424937132,-0.0009540850724323868,,,780.2421202325582,384.2300360696294
256,118.6987,0.1298,-0.0024748818581581122,-0.0023748818581581163,-0.0009192042612528595,,,780.2421325116279,384.2300300228048
257,118.7104,0.1296,-0.0024883523103312877,-0.0023883523103312918,-0.0008769235422528276,,-0.0008769235422528276,780.2421433953489,384.2300246631193
258,118.7223,0.1303,-0.0026020530266441383,-0.0025020530266441354,-0.0009356294776288743,,,780.2421544651163,384.23001921181555
259,118.7336,0.1309,-0.002715062950537854,-0.002615062950537858,-0.0009913754498766525,,,780.2421649767442,384.23001403536756
260,118.7467,0.1311,-0.0027301452516889854,-0.0027301452516889854,-0.001156001311509114,,,780.2421771627908,384.23000803435275
261,118.7566,0.1312,-0.0027415433266047493,-0.0027415433266047493,-0.0016048407031243883,,,780.2421863720931,384.23000349923484
262,118.7675,0.1319,-0.002854092722219044,-0.002754092722219041,-0.0019586133666200656,,,780.242196511628,384.2299985060244
263,118.7777,0.1319,-0.002865836193344358,-0.002865836193344358,-0.0020089327397994072,,,780.242206,384.22999383347894
264,118.7903,0.1322,-0.0028803428341462115,-0.0028803428341462115,-0.0019710919654917225,,,780.2422177209303,384.22998806151116
265,118.8023,0.1319,-0.002994158682528933,-0.00299415868252894,-0.002330291228055781,,,780.2422288837209,384.2299825643991
266,118.8136,0.1322,-0.0030071686064226527,-0.0030071686064226597,-0.002486037200303548,,,780.2422393953489,384.2299773879521
267,118.8248,0.1325,-0.0031200633982465253,-0.0031200633982465253,-0.002441289845363348,,,780.2422498139535,384.2299722573145
268,118.8353,0.1334,-0.003132152265581417,-0.00323215226558142,-0.002093089200106979,,,780.2422595813954,384.22996744734183
269,118.8489,0.1341,-0.0032478102270818293,-0.0033478102270818252,-0.001760181697679497,,,780.2422722325582,384.2299612172822
270,118.8605,0.1337,-0.003361165547185095,-0.003361165547185095,-0.0013174076514913535,,,780.2422830232558,384.22995590340804
271,118.8718,0.1343,-0.003374175471078815,-0.003474175471078818,-0.0010731536237391648,,,780.2422935348837,384.2299507269617
272,118.882,0.1342,-0.0033859189422041566,-0.0034859189422041595,-0.000823472996918706,,,780.2423030232559,384.2299460544174
273,118.8959,0.1346,-0.003501922299914119,-0.0036019222999141218,-0.0006920454760553363,,-0.0006920454760553363,780.2423159534884,384.2299396869308
274,118.9071,0.1346,-0.0036148170917379846,-0.0036148170917379915,-0.0008472981211151143,,,780.2423263720931,384.22993455629415
275,118.9178,0.1345,-0.0036271362232125764,-0.0037271362232125793,-0.001000084130234724,,,780.2423363255815,384.2299296547039
276,118.9304,0.1352,-0.0036416428640144577,-0.0037416428640144606,-0.0013622433559270508,,,780.2423480465117,384.2299238827381
277,118.9435,0.1354,-0.003756725165165592,-0.003856725165165595,-0.0014268692175594122,,,780.2423602325582,384.2299178817261
278,118.9535,0.1358,-0.003768238372151178,-0.003968238372151177,-0.001376201936362731,,,780.2423695348838,384.2299133008011
279,118.9672,0.1362,-0.003784011465721465,-0.003984011465721464,-0.0013437877611233717,,,780.2423822790698,384.229907024934
280,118.9774,0.1362,-0.0038957549368467542,-0.00399575493684675,-0.0013941071343028244,,,780.2423917674419,384.22990235239075
281,118.988,0.1371,-0.003907958936251496,-0.004107958936251495,-0.0018463998162343565,,,780.242401627907,384.2298974966106
282,119.0011,0.1374,-0.0039230412374026274,-0.004123041237402626,-0.002111025677866807,,,780.2424138139536,384.2298914955994
283,119.015,0.138,-0.0040390445951126105,-0.004239044595112609,-0.0022795981570035706,,,780.2424267441861,384.22988512811463
284,119.0247,0.138,-0.0040502124058886466,-0.004250212405888645,-0.002427450894242733,,,780.2424357674419,384.22988068461814
285,119.0375,0.1395,-0.0040649493108302,-0.004364949310830202,-0.0021905967743109933,,,780.2424476744187,384.2298748210352
286,119.0496,0.1409,-0.004078880291282776,-0.004378880291282777,-0.001850289364063118,,,780.2424589302326,384.22986927811723
287,119.0607,0.1417,-0.004091659951036795,-0.0044916599510368,-0.0014050486819349173,,,780.2424692558141,384.2298641932917
288,119.0718,0.144,-0.004104439610790815,-0.00450443961079082,-0.0009598079998066056,,,780.2424795813954,384.22985910846637
289,119.0836,0.1464,-0.004018025195033817,-0.004618025195033813,-0.001018020607994663,,,780.2424905581396,384.22985370297647
290,119.0948,0.1503,-0.004030919986857687,-0.004630919986857683,-0.000873273253054474,,,780.2425009767443,384.22984857234223
291,119.1081,0.1573,-0.0037462325521485165,-0.0046462325521485145,-0.0004388857690628134,,-0.0004388857690628134,780.2425133488373,384.22984247971414
292,119.1197,0.1607,-0.0036595878722518113,-0.004659587872251812,-0.0004961117228747813,,,780.2425241395349,384.2298371658432
293,119.1312,0.1568,-0.0038728280602852855,-0.0047728280602852904,-0.00055284434949876,,,780.2425348372094,384.22983189778165
294,119.1418,0.1516,-0.004085032059690005,-0.0047850320596900045,-0.0006051370314302806,,,780.2425446976745,384.2298270420033
295,119.1556,0.149,-0.004300920285330141,-0.004900920285330138,-0.0005732161833789107,,,780.2425575348838,384.2298207203298
296,119.167,0.1475,-0.004314045341293711,-0.004914045341293707,-0.0008294554828147671,,,780.2425681395349,384.2298154980779
297,119.178,0.1452,-0.004426709868977877,-0.004926709868977877,-0.001183721473498489,,,780.242578372093,384.2298104590631
298,119.1893,0.1448,-0.004539719792871599,-0.004939719792871597,-0.0016394674457462788,,,780.2425888837209,384.22980528262076
299,119.2014,0.1445,-0.004553650773324175,-0.005053650773324175,-0.0018991600354983929,,,780.2426001395349,384.22979973970473
300,119.2129,0.1448,-0.0045668909613576225,-0.005066890961357623,-0.0018558926621222716,,,780.2426108372093,384.2297944716442
